City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Chokurdakh,RU,2021-05-28 20:42:34,70.6333,147.9167,48.67,52,94,11.88
59,Murdochville,CA,2021-05-28 20:42:35,48.9583,-65.5006,38.28,37,100,15.66
60,Maragogi,BR,2021-05-28 20:42:35,-9.0122,-35.2225,77.34,75,27,10.87
61,Yellowknife,CA,2021-05-28 20:38:06,62.456,-114.3525,57.72,41,75,8.01
62,Albany,US,2021-05-28 20:42:35,42.6001,-73.9662,53.47,78,100,5.66
63,Camana,PE,2021-05-28 20:42:37,-16.6228,-72.7111,67.3,80,45,5.26
64,Hermanus,ZA,2021-05-28 20:42:37,-34.4187,19.2345,60.8,87,1,14.43
65,Luderitz,NA,2021-05-28 20:42:38,-26.6481,15.1594,62.11,56,80,12.77
66,Talnakh,RU,2021-05-28 20:42:38,69.4865,88.3972,30.7,96,100,7.05
67,Georgetown,MY,2021-05-28 20:42:38,5.4112,100.3354,80.89,93,20,1.01
68,Mabaruma,GY,2021-05-28 20:42:39,8.2,-59.7833,76.8,94,24,5.46
69,Lensk,RU,2021-05-28 20:42:39,60.7253,114.9278,53.42,76,97,1.05
70,Yarada,IN,2021-05-28 20:42:39,17.65,83.2667,88.12,84,40,8.81
71,Chuy,UY,2021-05-28 20:42:39,-33.6971,-53.4616,58.37,84,100,5.53
72,Vila Velha,BR,2021-05-28 20:42:15,-20.3297,-40.2925,78.75,81,0,7.0
73,Watsa,CD,2021-05-28 20:42:40,3.0372,29.5355,63.66,98,61,0.96
74,Sungaipenuh,ID,2021-05-28 20:42:40,-2.0833,101.3833,65.35,98,100,0.25
75,Obihiro,JP,2021-05-28 20:42:41,42.9172,143.2044,46.54,98,100,5.32
76,Port Alfred,ZA,2021-05-28 20:42:41,-33.5906,26.891,63.46,75,1,22.93
77,Thompson,CA,2021-05-28 20:42:42,55.7435,-97.8558,62.76,25,75,16.11
78,Dikson,RU,2021-05-28 20:42:42,73.5069,80.5464,20.98,95,100,3.96
79,Iqaluit,CA,2021-05-28 20:42:42,63.7506,-68.5145,29.93,69,40,19.57
80,Salalah,OM,2021-05-28 20:42:43,17.0151,54.0924,82.49,89,20,5.75
81,Faanui,PF,2021-05-28 20:42:43,-16.4833,-151.75,79.95,72,41,5.1
82,Rewa,IN,2021-05-28 20:42:43,24.5333,81.3,78.22,71,16,2.8
83,Bredasdorp,ZA,2021-05-28 20:42:44,-34.5322,20.0403,60.28,82,6,10.71
84,Talcahuano,CL,2021-05-28 20:42:44,-36.7167,-73.1167,55.08,88,75,4.61
85,Upernavik,GL,2021-05-28 20:42:44,72.7868,-56.1549,34.38,92,22,2.46
86,Ponta Do Sol,PT,2021-05-28 20:42:45,32.6667,-17.1,68.72,80,100,4.41
87,Nizhniy Kuranakh,RU,2021-05-28 20:42:45,58.8353,125.4869,46.94,83,25,0.85
88,Pacific Grove,US,2021-05-28 20:42:45,36.6177,-121.9166,83.61,81,75,5.99
89,Chadan,RU,2021-05-28 20:42:46,51.2833,91.5833,44.65,63,11,2.98
90,Vostok,RU,2021-05-28 20:42:46,46.4856,135.8833,44.35,84,100,3.0
91,Byron Bay,AU,2021-05-28 20:42:46,-28.65,153.6167,57.15,72,76,17.56
92,Colquechaca,BO,2021-05-28 20:42:47,-18.6667,-66.0167,41.34,33,8,17.2
93,Bluff,NZ,2021-05-28 20:42:47,-46.6,168.3333,49.8,81,100,24.94
94,Labuhan,ID,2021-05-28 20:42:47,-6.8844,112.2051,77.65,90,97,6.55
95,Uyuni,BO,2021-05-28 20:42:48,-20.4597,-66.825,46.92,28,9,25.05
96,Pevek,RU,2021-05-28 20:42:48,69.7008,170.3133,37.81,75,91,3.09
97,Sur,OM,2021-05-28 20:42:48,22.5667,59.5289,87.89,45,0,9.89
98,Meulaboh,ID,2021-05-28 20:42:49,4.1363,96.1285,75.58,91,100,5.32
99,Rikitea,PF,2021-05-28 20:42:49,-23.1203,-134.9692,75.9,73,43,21.07
100,Cayenne,GF,2021-05-28 20:42:49,4.9333,-52.3333,82.44,84,75,4.0
101,Kruisfontein,ZA,2021-05-28 20:42:50,-34.0033,24.7314,58.89,74,14,21.05
102,Cape Town,ZA,2021-05-28 20:41:03,-33.9258,18.4232,59.11,93,75,6.4
103,Asau,RO,2021-05-28 20:42:51,46.4333,26.4,58.75,97,100,2.39
104,Haines Junction,CA,2021-05-28 20:42:51,60.7522,-137.5108,57.15,28,100,8.05
105,Vila Do Maio,CV,2021-05-28 20:42:51,15.1333,-23.2167,74.19,81,34,14.32
106,Saryozek,KZ,2021-05-28 20:42:52,44.3583,77.9753,61.75,70,97,2.48
107,Avarua,CK,2021-05-28 20:42:52,-21.2078,-159.775,78.85,65,100,11.5
108,Hilo,US,2021-05-28 20:42:52,19.7297,-155.09,81.25,66,90,4.61
109,Palencia,ES,2021-05-28 20:42:53,42.4167,-4.5,64.8,85,81,0.43
110,Mahebourg,MU,2021-05-28 20:42:53,-20.4081,57.7,72.25,94,40,3.44
111,Big Spring,US,2021-05-28 20:42:53,32.2504,-101.4787,82.27,73,40,24.16
112,Klaksvik,FO,2021-05-28 20:42:53,62.2266,-6.589,47.32,88,32,15.84
