Hotel_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
341,Luba,GQ,80.49,moderate rain,3.4568,8.5547,
342,Auki,SB,84.49,broken clouds,-8.7676,160.7034,
347,Morgan City,US,80.98,broken clouds,29.6994,-91.2068,
351,Pasuruan,ID,78.69,broken clouds,-7.6453,112.9075,
353,Macheng,CN,77.68,overcast clouds,31.1783,115.0319,
355,Tala,EG,77.36,clear sky,30.6803,30.9429,
357,Grand-Bourg,GP,80.55,clear sky,15.8835,-61.3148,
358,Arraial Do Cabo,BR,75.06,heavy intensity rain,-22.9661,-42.0278,
359,Nabire,ID,80.94,overcast clouds,-3.3667,135.4833,
361,Tual,ID,81.61,overcast clouds,-5.6667,132.75,
370,Isla Vista,US,82.26,clear sky,34.4133,-119.861,
371,Abu Kamal,SY,79.36,scattered clouds,34.4506,40.9171,
372,Robertsport,LR,79.81,moderate rain,6.7533,-11.3686,
375,Canutama,BR,80.94,overcast clouds,-6.5339,-64.3831,
384,Dzilam Gonzalez,MX,76.77,broken clouds,21.2833,-88.9333,
387,Alexandria,EG,79.34,clear sky,31.2156,29.9553,
393,Palauig,PH,86.09,few clouds,15.435,119.9045,
395,Kavaratti,IN,82.4,overcast clouds,10.5669,72.642,
397,Haikou,CN,84.33,light rain,20.0458,110.3417,
399,Wamba,NG,79.14,scattered clouds,8.9333,8.6,
403,Do Gonbadan,IR,75.29,clear sky,30.3586,50.7981,
404,Chinchani,IN,83.28,broken clouds,19.8667,72.7,
409,Durango,MX,86.61,broken clouds,24.8333,-104.8333,
411,Rudbar,AF,84.06,clear sky,30.15,62.6,
414,Makakilo City,US,83.95,broken clouds,21.3469,-158.0858,
416,Matara,LK,79.84,overcast clouds,5.9485,80.5353,
424,Abeche,TD,86.11,broken clouds,13.8292,20.8324,
425,Batticaloa,LK,79.5,broken clouds,7.7102,81.6924,
426,Kutum,SD,83.35,overcast clouds,14.2,24.6667,
427,Mogadishu,SO,78.21,broken clouds,2.0371,45.3438,
431,Waw,SS,77.99,few clouds,7.7029,27.9953,
434,Salalah,OM,80.24,overcast clouds,17.0151,54.0924,
438,Pontianak,ID,75.18,scattered clouds,-0.0333,109.3333,
439,Winder,US,76.14,scattered clouds,33.9926,-83.7202,
440,Mongo,TD,89.04,clear sky,12.1844,18.692999999999998,
442,Bonthe,SL,78.89,light rain,7.5264,-12.505,
443,Kupang,ID,77.58,scattered clouds,-10.1667,123.5833,
444,Tautira,PF,82.42,overcast clouds,-17.7333,-149.15,
445,Namatanai,PG,84.06,light rain,-3.6667,152.4333,
446,Altamira,BR,77.25,scattered clouds,-3.2033,-52.2064,
454,Gainesville,US,87.67,overcast clouds,29.6516,-82.3248,
456,Pochutla,MX,80.82,broken clouds,15.7432,-96.4661,
461,Sinjar,IQ,75.99,clear sky,36.3209,41.8754,
464,Jucurutu,BR,80.55,broken clouds,-6.0339,-37.0203,
465,Adre,TD,84.33,broken clouds,13.4667,22.2,
468,San Cristobal,VE,75.38,scattered clouds,7.7669,-72.225,
469,Mitsamiouli,KM,78.48,light rain,-11.3847,43.2844,
470,Adrar,MR,87.84,overcast clouds,20.5022,-10.0711,
473,Tucurui,BR,80.58,broken clouds,-3.7661,-49.6725,
477,Cortez,US,82.51,scattered clouds,37.3489,-108.5859,
481,Bushehr,IR,85.15,clear sky,28.9684,50.8385,
482,Labuhan,ID,78.78,light rain,-6.8844,112.2051,
483,Axim,GH,78.53,moderate rain,4.8699,-2.2405,
484,Hobyo,SO,78.44,broken clouds,5.3505,48.5268,
485,Paraopeba,BR,76.35,overcast clouds,-19.2757,-44.4033,
486,Paragominas,BR,79.02,overcast clouds,-2.9667,-47.4833,
488,Moose Factory,CA,77.0,clear sky,51.2585,-80.6094,
491,Saint George,US,95.47,clear sky,37.1041,-113.5841,
492,Raymondville,US,87.6,broken clouds,26.4815,-97.7831,
494,Mersing,MY,76.91,broken clouds,2.4312,103.8405,
496,Hurghada,EG,78.84,clear sky,27.2574,33.8129,
500,Ambagarh Chauki,IN,84.96,few clouds,20.7833,80.7167,
505,Ahuimanu,US,85.14,scattered clouds,21.4447,-157.8378,
511,Sao Tome,ST,79.36,overcast clouds,0.3365,6.7273,
512,Tabuk,PH,84.38,broken clouds,17.4189,121.4443,
516,Kudahuvadhoo,MV,83.61,scattered clouds,2.6708,72.8944,
525,Srivardhan,IN,82.08,overcast clouds,18.0333,73.0167,
528,Touros,BR,77.9,broken clouds,-5.1989,-35.4608,
531,San Patricio,US,84.88,scattered clouds,28.017,-97.5169,
534,Kidal,ML,92.05,broken clouds,18.4411,1.4078,
536,Kokoda,PG,81.81,overcast clouds,-8.8785,147.7407,
538,Bilma,NE,88.99,broken clouds,18.6853,12.9164,
539,Kalmunai,LK,79.45,broken clouds,7.4167,81.8167,
541,Lazaro Cardenas,MX,85.21,broken clouds,17.9583,-102.2,
544,Alofi,NU,84.09,light rain,-19.0595,-169.9187,
550,Atar,MR,91.38,broken clouds,20.5169,-13.0499,
557,Aquiraz,BR,82.18,few clouds,-3.9014,-38.3911,
559,Sorong,ID,79.23,overcast clouds,-0.8833,131.25,
561,Barsi,IN,79.48,broken clouds,18.2333,75.7,
562,Elko,US,77.05,clear sky,41.0002,-115.5012,
568,Jhargram,IN,82.92,scattered clouds,22.45,86.9833,
572,Moussoro,TD,88.14,clear sky,13.6408,16.4901,
574,Kahului,US,83.84,broken clouds,20.8947,-156.47,
576,Buala,SB,84.27,broken clouds,-8.145,159.5921,
577,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,
578,Abu Dhabi,AE,89.71,clear sky,24.4667,54.3667,
581,Kuching,MY,75.42,few clouds,1.55,110.3333,
582,Port-Gentil,GA,80.56,overcast clouds,-0.7193,8.7815,
584,Barcarena,BR,80.65,broken clouds,-1.5058,-48.6258,
586,Kinablangan,PH,76.44,overcast clouds,7.6947,126.5503,
590,Yaan,NG,77.99,broken clouds,7.3833,8.5667,
591,Pyu,MM,78.06,overcast clouds,18.4833,96.4333,
594,Huaicheng,CN,80.74,broken clouds,23.9051,112.1931,
601,Corpus Christi,US,85.03,broken clouds,27.8006,-97.3964,
602,Lumut,MY,77.38,few clouds,4.2323,100.6298,
603,Padang,ID,75.85,overcast clouds,-0.9492,100.3543,
604,Coari,BR,77.23,broken clouds,-4.085,-63.1414,
617,Illela,NG,90.57,broken clouds,13.7292,5.2975,
618,Baherden,TM,90.7,clear sky,38.4362,57.4316,
626,Kloulklubed,PW,84.06,overcast clouds,7.0419,134.2556,
630,Acapulco,MX,86.31,overcast clouds,16.8634,-99.8901,
631,Male,MV,84.15,few clouds,4.1748,73.5089,
633,Anito,PH,81.82,overcast clouds,12.4497,125.2886,
